,Lambda,Age,Family_Income_Quantile,Fulltime,LSAT,Schl_Ranking_Mean,GPA
0,0.0,0.047480115585041706,0.02351255810590212,0.13635618707063546,0.22370853989246328,0.5032742134981522,0.0656683858478053
1,0.01,0.04706852858232953,0.0230368654925296,0.13509213308957715,0.22321662749819904,0.5049294132348271,0.06665643210253766
2,0.02,0.046861396067639054,0.022669894647590044,0.13391643292247973,0.22433776894523,0.5064789245792573,0.06573558283780392
3,0.03,0.04634860341117991,0.02263370710408942,0.13282157324419158,0.22520918458083905,0.5056210376368709,0.06736589402282914
4,0.04,0.04680889989092695,0.022568606940674498,0.13232449897653284,0.22634189728467616,0.5042748810397883,0.06768121586740117
5,0.05,0.04656396798811151,0.0227370906599253,0.13154505965687074,0.2284681378692369,0.5027554514007445,0.06793029242511112
6,0.06,0.046815265748759556,0.02202267222440215,0.1273534924763699,0.2328482783715864,0.5020250474266579,0.06893524375222418
7,0.07,0.04652934421648465,0.02218926139118404,0.12675071437793303,0.2353676344732428,0.5009850509902569,0.06817799455089854
8,0.08,0.04606587950658682,0.022870273454568334,0.12671243792555914,0.23640548601432157,0.5001003623623312,0.06784556073663299
9,0.09,0.04593789942501245,0.02295377634903039,0.12660499874702494,0.23711982134816229,0.49980435638417564,0.06757914774659424
10,0.1,0.045364589053480724,0.022452764140146932,0.1267746853406142,0.23696374799001516,0.5004394001470461,0.06800481332869683
11,0.11000000000000001,0.04521214655227275,0.02279743033165254,0.12597651979306462,0.23719047580112823,0.5011326923587238,0.06769073516315802
12,0.12,0.04527873461099067,0.022862319351041473,0.12478185220665336,0.24141463081313827,0.49771070680796425,0.06795175621021195
13,0.13,0.04494738358459473,0.022885480110589163,0.12428455796348137,0.2439823421742398,0.49591555148248256,0.0679846846846124
14,0.14,0.04509929624854979,0.02197398517026498,0.11980926129691563,0.24482738636577395,0.5013849045024277,0.06690516641606803
15,0.15,0.04524564711214532,0.02188109072956778,0.11993769082767483,0.2453481778733575,0.5009502758904933,0.06663711756676123
16,0.16,0.044056019125086054,0.021645663241782857,0.11730367055680305,0.24328556307477428,0.5068087556124088,0.06690032838914492
17,0.17,0.043633910483618754,0.02049871534465239,0.11494085034285266,0.2442846750243049,0.5103553500899837,0.0662864987145877
18,0.18,0.043271445837915215,0.020514509791989592,0.11298728900003079,0.25048008092485696,0.5075915574650564,0.06515511698015108
19,0.19,0.04318295039891811,0.02093871872372882,0.11169878102201318,0.2530835311879259,0.5061134988555008,0.06498251981191315
20,0.2,0.04280316058536443,0.021109981294912036,0.10992832104187596,0.25300835427710056,0.5052777442845919,0.06787243851615518
21,0.21000000000000002,0.04251155454018605,0.020808287246985475,0.10997568365559722,0.2538489287820359,0.5045117977214026,0.06834374805379269
22,0.22000000000000003,0.04178310975407677,0.020406894800213318,0.10986177748367301,0.25330621922489727,0.5027254978256049,0.07191650091153459
23,0.23000000000000004,0.041839566745760684,0.020376878519122444,0.1089794193941391,0.2533850723688743,0.5043558217346965,0.07106324123740695
24,0.24,0.04188691264712574,0.020403419990025908,0.10859749030334118,0.25381558463755394,0.5028666622720779,0.07242993014987513
25,0.25,0.04217166941063796,0.02086665615761045,0.10466772681535581,0.25582609497925396,0.5039138333395078,0.07255401929763403
26,0.26,0.04177658271254904,0.020313147513661763,0.10308342686509395,0.2567585424457476,0.5048010246307938,0.07326727583215387
27,0.27,0.04236797127515807,0.020011503897325797,0.10224355852424642,0.2556356008874435,0.5074148539741213,0.0723265114417048
28,0.28,0.04219318063223747,0.02034982599680383,0.10143069044054458,0.2566084495245636,0.5072342606021358,0.07218359280371478
29,0.29,0.041875053592548735,0.019516011005115765,0.10131448654338533,0.258639511896606,0.506733340904687,0.07192159605765718
30,0.3,0.04135730204284654,0.01943907202776502,0.10080780603896326,0.26088167772461457,0.5059751606287971,0.0715389815370135
31,0.31,0.04112794802998765,0.01940088841787153,0.09923214224771637,0.2605410698680727,0.5086202851515642,0.07107766628478752
32,0.32,0.040979540898849275,0.01911844334025955,0.09655452321157584,0.25958672726123533,0.5133777520915671,0.07038301319651297
33,0.33,0.04058342530281821,0.018944718033332524,0.09468796545421712,0.25720435511211515,0.5194486024310667,0.06913093366645036
34,0.34,0.040015290516124506,0.018306730653126147,0.09193509047389677,0.25687354003897883,0.5252142605178308,0.06765508780004294
35,0.35,0.04014073171757939,0.01867675252646005,0.09098689900282944,0.2585198695835695,0.5239691675045205,0.06770657966504115
36,0.36,0.040172577982618404,0.018706225500803496,0.09111620636239015,0.25837406611620317,0.5241382070623704,0.06749271697561446
37,0.37,0.0402228516262219,0.01860013308322246,0.0902314163382539,0.2600275170246751,0.5233429853648575,0.0675750965627692
38,0.38,0.03997761431535698,0.018666754308262114,0.08810968024730696,0.26307733700534064,0.5225662951226351,0.0676023190010983
